"title","course_description","expected_hours"
"fat chance probability ground ","created specifically new study probability seeking approachable review core concepts prior enrolling college level statistics course fat chance prioritizes development mathematical mode thought rote memorization terms formulae highly visual lessons guided practice course explores quantitative reasoning behind probability cumulative nature mathematics tracing probability statistics back foundation principles counting modules will introduced basic counting skills will build upon throughout course module will apply skills simple problems probability modules will explore ideas techniques can adapted answer greater range probability problems lastly module will introduced statistics notion expected value variance normal distribution will see use ideas approximate probabilities situations difficult calculate exact values ",28
"chasing yourâ dream end procrastination get job love"," love job wake every morning eager ready chosen rest life chosen track impatient snap action immediately start working effectively overcome difficulties life full purpose use people answer questions yes congratulations re great however people share least level insecurity work future sounds like follow question done anything change planning put time course may feel little stuck careers draws academic teachings motivation positive psychology universities like harvard andmoscow state university combines cultural studies tibet ll learn resist procrastination engage process self determination ll find ways contend bumps prevent us moving direction course can promise magic pill butit will offer tools solvingkey problems thatcan hinder self fulfillment willgain basic skills self development explore well considered hypotheses future development build toolsyou ll need follow passion succeed ",20
"bitcoin cryptocurrencies","",24
"english grammar style"," rise social media internet many people writing today different mediums ever ll present materials cover grammatical principles word usage writing style sentence paragraph structure punctuation ll introduce marvelous resources annotated guidance ll show video clips interviews conducted distinguished grammarians challenge quizzes writing activities will give strategies help build skills will enhance quality writing invite participate discussions assess work peers ",28
"ethics action"," challenges sustainable development technical political also moral calling us examine human beings want going forward examination makes good person called virtue ethics long purview philosophers theologians world great religious secular philosophies say ethical conduct virtues common across creeds cultures role ethics spirituality religious communities play sustainable development distinguished leaders world major religious traditions philosophers scholars scientists invited pope francis vatican series meetings known ethics action initiative meetings sought promote dialogue find consensus values needed advance transformative action common home human family course features ethics action meeting participants well leading voices discusses perspectives world great traditions role addressing world pressing challenges including poverty corruption climate change presents multi faith cooperation essential achieving sustainable development calls development new shared virtue ethics bring us sustainable peaceful future course ",30
"introduction fintech"," past decade emerging technologies paired massive changes regulations driven unprecedented transformation finance around world process happening rapidly china asia anywhere else course designed explore fintech fundamentals help make sense wave change happens new players start ups technology firms challenging traditional players finance bringing democratization inclusion disruption companies engaged social media commerce telecommunications well companies start ups large customer data pools creative energies technical capacities brought competition existing financial infrastructure remaking industry transformations created challenges also unprecedented opportunities building synergies new business regulatory models particularly emerging markets developing countries meet changes st century professionals students must equipped date knowledge industry incredible evolution course designed hku support supercharger centre finance technology education designed enable learners necessary tools understand complex interaction finance technology regulation course series video lectures case studies assessments will explore major areas fintech including beginning fintech turning money payment emerging technologies digital finance alternative finance fintech regulation regtech data security future data driven finance well core technologies driving fintech including blockchain ai big data will set stage understanding fintech landscape ecosystem grappling potential direction future change ",12
"data science basics"," first professional certificate program data science course will introduce basics programming can better retain learn solve specific problem ll use real world dataset crime united states will learn skills needed answer essential questions differences crime across different states ll cover functions data types tackle operate vectors use advanced functions like sorting ll learn apply general programming features like else loop commands wrangle analyze visualize data rather covering every skill might need ll build strong foundation prepare depth courses later series cover concepts like probability inference regression machine learning help develop skill set includes programming data wrangling dplyr data visualization ggplot file organization unix linux version control git github reproducible document preparation rstudio demand skilled data science practitioners rapidly growing series prepares tackle real world data analysis challenges ",12
"python basics data science","kickstart learning python data science well programming general introduction python course beginner friendly python course will quickly take zero programming python matter hours give taste start working data python upon completion ll able write python scripts perform basic hands data analysis using jupyter based lab environment want learn python scratch course can start creating data science projects collaborating data scientists using ibm watson studio sign will receive free access watson studio start now take advantage platform learn basics programming machine learning data visualization introductory course objectives course get started python programming language give taste start working data python course will learn ",17.5
" science beer"," ever taken sip beer wondered tastes certain way effect alcohol body course will learn beer including made raw materials used supply chain marketed effect beer consumption body course tasting beer will entirely new sensation will enjoy even since will better understand inside drink mention responsible drinker important know effects beer health will gain natural view allowing form well grounded opinion mooc developed students wageningen university research honour year anniversary university students received guidance professors experts field food production health risks marketing logistics sustainable supply chains ensure high quality learning experience everyone mooc teachers will truly peers interested science behind beer register course now ",18
"strategic social media marketing","social media technologies continuously transforming ways consumers interact firms changes constitute fundamental shift marketplace consumers greater opportunities voice opinions connect peers well increased influence marketers brands course part digital product management micromasters program examine organizations capitalize social media consumer consumer interactions support marketing efforts view issues strategic practical perspective rather technical platform perspective will give knowledge need create engaging content platforms facebook instagram twitter snapchat identify influencers deliver content targeted audience measure success efforts understanding social media crucial product managers will operating digital environment product managers will learn use social media conversations inform decision making leverage social media promote products services brand additionally learners will gain understanding social media can used achieve specific organizational objectives measure effectiveness efforts ",30
"cs introduction artificial intelligence python","ai transforming live work play enabling new technologies like self driving cars recommendation systems improving old ones like medical diagnostics search engines demand expertise ai machine learning growing rapidly course will enable take first step toward solving important real world problems future proofing career cs introduction artificial intelligence python explores concepts algorithms foundation modern artificial intelligence diving ideas give rise technologies like game playing engines handwriting recognition machine translation hands projects students gain exposure theory behind graph search algorithms classification optimization reinforcement learning topics artificial intelligence machine learning incorporate python programs courseâ end students emerge experience libraries machine learning well knowledge artificial intelligence principles enable design intelligent systems enroll now gain expertise one fastest growing domains computer science creators one popular computer science courses ever cs youâ ll learn theoretical frameworks enable new technologies gaining practical experience apply powerful techniques work ",140
"cs introduction game development","",90
"rhetoric art persuasive writing public speaking"," living contentious time history fundamental disagreements critical policy economic political issues make essential learn compose effectiveargument analyze arguments others ability will help engage civil discourse make needed changes society conveying convincing message can benefit personal public professional lives course introduction theory practice rhetoric art persuasive writing speech will learn construct defend compelling arguments crucial skill many settings will using selected speeches prominent twentieth century americans including martin luther king jr john kennedy margaret chase smith ronald reagan explore analyze rhetorical structure style analysis will learn speakers writers persuade audience adopt point view built around harvard professor james engell campus course elements rhetoric course will help analyze apply rhetorical structure style appreciate relevance persuasive communication life understand persuade recognize someone trying persuade will inspired share viewpoint discover powerful ways convince others champion cause join us find voice ",20
"cs web programming python javascript","topics include database design scalability security user experience hands projects ll learn write use apis create interactive uis leverage cloud services like github heroku course end ll emerge knowledge experience principles languages tools empower design deploy applications internet ",90
"contract law trust promise contract","learn contracts harvard law professor charles fried one world leading authorities contract law contracts promises law will enforce will law refuse honor promise happens one party hold part deal version course adds new units interpretation agency partnerships corporations government regulation exposed contracts areas life agreeing terms downloading new computer program hiring contractor repair leaking roof even ordering meal restaurant knowing principles contracts just skill needed lawyers illuminates everyone crucial institution use time generally take granted contract law course new materials updated case examples designed introduce range issues arise entering enforcing contracts will provide introduction contract also analyze purpose significance contracts will discuss intent create legal relations legality morality distinction gifts bargains course also investigates common pitfalls one sided promises mistake fraud frustration knowledge makes contracts can go wrong professor fried will discuss remedies specific performance finally professor fried will introduce contracts can create rights third parties course instructor charles fried teaching harvard law school years written extensively contracts professor fried leading authority contract law also utilizes story telling approach explaining topic creates unique interesting class experience ",36
"fundamentals neuroscience part electrical properties neuron","fundamentals neuroscience three courseseries explores structure function nervous systemâ inner workings single nerve cell staggering complexity brain social interactions enable first course ll learn individual neurons use electricity transmit information ll build neuron piece piece using interactive simulations travel around harvard campus ll see inner workings lab learn conduct diy neuroscience experiments join us study electrical properties individual neurons building foundation understanding function entire nervous system ",20
"justice","taught lauded harvard professor michael sandel justice explores critical analysis classical contemporary theories justice including discussion present day applications topics include affirmative action income distribution sex marriage role markets debates rights human rights property rights arguments equality dilemmas loyalty public private life course invites learners subject views controversies critical examination principal readings course texts aristotle john locke immanuel kant john stuart mill john rawls assigned readings include writings contemporary philosophers court cases articles political controversies raise philosophical questions ",54
"data science machine learning","perhaps popular data science methodologies come machine learning distinguishes machine learning computer guided decision processes builds prediction algorithms using data popular products use machine learning include handwriting readers implemented postal service speech recognition movie recommendation systems spam detectors course part ofourprofessional certificate program data science will learn popular machine learning algorithms principal component analysis regularization building movie recommendation system will learn training data use set data discover potentially predictive relationships build movie recommendation system will learn train algorithms using training data can predict outcome future datasets will also learn overtraining techniques avoid cross validation skills fundamental machine learning ",24
"child protection children rights theory practice","across world children riskfrom violence abuse exploitation neglect conflict natural disasters forced millions flee homes confront dangers migration displacement commercial sexual exploitation trafficking child labor child marriage problems many countries risk children adolescents need rights enforcedif protect harm ensure develop full potential led jacqueline bhabha research director harvard fxb center health human rights course will teach causes consequences child protection failures will consider strategies international laws standards resources required protect children will able link legal frameworks child rights approaches work policymakers lawyers health workers educators law enforcement social workers learners will come understand can ensure protection children apply child protection strategies work join harvard faculty practitioners global community learners master child centered systems approach preventing responding violence exploitation abuse children ",64
"ielts academic test preparation","ielts world popular english language test wanting study higher education english speaking country ielts course will prepare take ielts academic tests confidence will immediate access hours interactive practice materials covering four skills listening speaking reading writing innovative preparation course designed written experienced english teaching professionals university queensland ielts testing centre one world leading centres learning course writers extensive experience enabling students reach academic ielts goal entering university english primary language section course includes engaging multi media presentations reviewing key test taking skills strategies techniques accompanied wide variety authentic ielts style exercises interactive activities provide focused practice skills strategies techniques need perform best new release ielts preparation course will find number enhancements already successful formula course appears new videos improvements explanation answers well number new engaging practice activities significantly responded requests existing users offer comprehensive feedback writing using several new features course self paced can complete course units sequence select areas want focus prepare ielts academic tests completing course will feel fully prepared complete ielts academic tests students select verified enrolment course will access additional materials provided ieltsx course team ",60
" architectural imagination","architecture engages cultureâ deepest social values expresses material aesthetic form course will teach understand architecture cultural expression technical achievement vivid analyses exemplary buildings hands exercises drawing modeling will bring closer work architects historians first part course introduces idea architectural imagination perspective drawing architectural typology explored will introduced challenges writing architectural history address technology component architecture will discover ways innovative technology can enable promote new aesthetic experiences disrupt age old traditions technological advances changed built even even thought architecture finally ll confront architectureâ complex relationship social historical contexts audiences achievements aspirations will learn architectureâ power representation see can produce collective meaning memory architecture one complexly negotiated globally recognized cultural practices academic subject professional career production involves technical aesthetic political economic issues play within given society join us examine architecture engages mediates expresses cultureâ complex aspirations course eligible american institute architects aia continuing education units ceus enroll course learn options earning credit ",40
"toeflâ test preparation insiderâ guide"," test preparation course developed experts create administer score toefl test will help english language learners improve skills toefl test worldâ trusted widely accepted english language assessment helped millions people achieve dreams study work live abroad institutions higher education government agencies organizations worldwide accept toefl scores making important decisions course will help understand can achieve best toefl test score instructors will guide section reading listening speaking writing using archived past test questions will explain kinds questions can expect will receive valuable advice including register test scored prepare test day course highly interactive using videos sample questions explanations short quizzes collaborative discussion boards will also access real test materials past tests weeks covering speaking writing course participants can receive scores practice test responses addition will free resources discounted test prep offers throughout course finally will receive valuable insider tips help best toefl test can apply university job dreams takes toefl test million people world taken toefl test demonstrate english language proficiency response global pandemic ets temporarily offering toefl ibt special home edition meet needs students unable take toefl ibt test test center special home edition toefl ibt test identical content format scoring screen experience just taken home computer monitored human proctor online course will help prepare toefl ibt test regardless take ",18
"principles biochemistry","principles biochemistry integrates introduction structure macromolecules biochemical approach cellular function topics addressing protein function will include enzyme kinetics characterization major metabolic pathways interconnection tightly regulated networks manipulation enzymes pathways mutations drugs exploration simple cells red blood cells complex tissues muscle liver will used framework discuss progression metabolic complexity learners will also develop problem solving analytical skills generally applicable life sciences ",75
"using python research"," course bridges gap introductory advanced courses python many excellent introductory python courses available typically go deep enough apply python skills research projects course first reviewing basics python learn tools commonly used research settings version course includes new module statistical learning using combination guided introduction independent depth exploration will get practice new python skills various case studies chosen scientific breadth coverage different python features ",36
"hinduism scriptures","ever wondered sacred scriptures sustained millennia one oldest diverse religions world hinduism want discover lessons history may offer mankind st century religion course introduces rich diverse textual sources millions hindus drawn religious inspiration millennia bhagavad gita offered philosophical insights number modern thinkers course will introduce important passages important hindu sacred texts interpretations moderns will give opportunity engage ",30
"basic spanish getting started"," week spanish language course aimed students like learn conversational spanish starting spanish basics course introduces everyday language includes activities practice four language skills reading comprehension writing listening comprehension speaking course will introduce proficiency level described common european framework reference languages cefrl council europe completing course will prepared introduce ask basic questions conduct brief conversation spanish course uses reference materials cultural notes grammar explanations functions language etc students will able monitor progress taking number performance tests final achievement test ",31.5
" health effects climate change"," world climate changing top twenty hottest years ever recorded sixteen occurred last two decades warming already profound effect many feel powerless face challenge can make difference looking air quality nutrition infectious diseases human migration course will show increases greenhouse gases impact public health experts working variety settings will present recommendations responding challenges interested students will opportunity learn research methods measure health effects climate change created support harvard global health institute course will explain climate change impacts people around globe also directly affects life though riskrises rising global temperatures climate change solvable problem things can mitigate risk course elegy planet call action enroll now learn can reduce harm caused global warming ",28
"inglã bã sico conversacional networking","en tu vida diaria laboral seguramente te enfrentado situaciones en donde tienes que leer entender hablar inglã te encuentras en una encrucijada cuando te sientes capaz de realizarlo de manera efectiva si te sentiste identificado este contenido fue creado para ti con este curso en lã nea podrã aprender inglã de forma eficaz para desenvolverte correctamente en tu vida diaria laboral eliminando la barrera del idioma para alcanzar el xito profesional con mã de aã os de experiencia los docentes han desarrollado este curso especialmente para que puedas enfrentar las situaciones de la vida cotidiana travã de una metodologã mixta aplicando el idioma mediante ejercicios que alientan la conexiã entre los significados situaciones repeticiã facilitando tu comunicaciã en este idioma ",26
"statistics r"," course teaches programming language context statistical data statistical analysis life sciences will learn basics statistical inference order understand compute values confidence intervals analyzing data code provide programming examples way will help make connection concepts implementation problem sets requiring programming will used test understanding ability implement basic data analyses will use visualization techniques explore new data sets determine appropriate approach will describe robust statistical techniques alternatives data fit assumptions required standard approaches using scripts analyze data will learn basics conducting reproducible research given diversity educational background students divided course materials seven parts can take entire series individual courses interest statistician consider skipping first two three courses similarly biologists consider skipping introductory biology lectures note statistics programming aspects class ramp difficulty relatively quickly across first three courses start simple calculations descriptive statistics third course will teaching advanced statistical concepts hierarchical models fourth advanced software engineering skills parallel computing reproducible research concepts courses make two professional certificates self paced data analysis life sciences genomics data analysis class supported part nih grant gm ",12
"science cooking haute cuisine soft matter science chemistry "," module course chefs reveal secrets behind famous culinary creations often right restaurants inspired cooking mastery harvard team will explain science behind recipe topics will include will also opportunity become experimental scientist laboratory kitchen following along engaging recipe week taking precise measurements making skillful observations will learn think like cook scientist lab certainly one unique components course science course can eat experiments ",40
"pyramids giza ancient egyptian art archaeology"," giza pyramids built cemeteries hundreds decorated tombs around develop gizaâ contribution first great age ancient egyptian civilization old kingdom giza plateau cemeteries including majestic pyramids great sphinx stirring examples ancient egyptian architecture culture provide windows ancient egyptian society also contain mysteries waiting solved egyptian pyramids giza provide opportunity explore history archaeology learn modern methods shaping discipline today introductory course will explore art archaeology history surrounding giza pyramids will learn egyptian pharaohs high officials pyramid age follow footsteps great th century expeditions discover cutting edge digital tools like modeling reshaping discipline egyptology join us online journey ancient egyptâ famous archaeological site uncover history significance giza use new digital techniques unravel mysteries ancient tombs temples ",24
"predictionx omens oracles prophecies","humans always sought know future destiny empire individual fate across cultures history find people trying find place universe attempting gaze future join us one week immersive learning experience explore pre scientificâ prediction systems ranging ancient chinese bone burning oracle delphi modern astrology tarot practitioners harvard faculty leading journey will examine details dozen prediction systems well theoretical frameworks connecting module part predictionx examines efforts predict future recorded history predictionx courses will cover topics omens oracles ancient civilizations course discusses evolution general approach science take today includes course john snow cholera outbreak well modern computer simulations role play predicting futures today ",4
"excel fundamentos herramientas"," este es un curso introductorio en el que aprenderemos trabajar con excel el componente para hojas de cã lculo de la suite ofimã tica de microsoft ms office este programa permite realizar todo tipo de operaciones con datos pudiendo clasificar manejar grandes cantidades de ellos incorpora una gran cantidad de funciones posee grandes cualidades para representar los resultados de forma grã fica partiremos de exploraremos las funcionalidades mã utilizadas como los formatos la presentaciã de resultados los grã ficos las funciones la tablas de datos ",28
"lessons ebola preventing next pandemic","like event recent history ebola outbreak made clear fragility existing health systems responding current epidemic critical also opportunity learn lessons prevent next global health catastrophe forge partnerships across borders disciplines demonstrate commitment value human lives four week course provides context understand ebola outbreak now many people suffer die course lays global governance structure global response supposed look like fail course will feature practitioners experts scholars will focus cultivating better understanding ebola epidemic implications future health systems ensure world effective preventing next pandemic ",16
"improving global health focusing quality safety","improving access healthcare useful quality care provided many agree quality important define measure importantly might make better course designed care health healthcare wish learn measure improve care institutions countries session will interactive provide concrete tools students can use will empower raise questions propose concrete solutions promote change assembled leading thinkers around globe people experts people real hands experience running organizations hospitals ministries health join us whether physician nurse healthcare provider student medicine public health health policy patient simply cares getting good care course ",30
"cs lawyers","",45
"data science visualization"," part professional certificate program data science course covers basics data visualization exploratory data analysis will use three motivating examples ggplot data visualization package statistical programming language will start simple datasets graduate case studies world health economics infectious disease trends united states ll also looking mistakes biases systematic errors unexpected problems often lead data handled care fact can difficult impossible notice mistake within dataset makes data visualization particularly important growing availability informative datasets software tools led increased reliance data visualizations across many areas data visualization provides powerful way communicate data driven findings motivate analyses detect flaws course will give skills need leverage data reveal valuable insights advance career ",12
"christianity scriptures","christianity global religion modest beginnings years ago grown encompass nearly third human population diverse languages cultures histories creeds christians nonetheless share common collection sacred scripture called bible religion course introduces bible scripture asks questions will begin explore questions others learning content interpretations sacred texts ",30
" science happiness"," free eight week science happiness course will offer practical research backed tips living happy meaningful life huffington postwe want happy countless ideas happiness can get many ideas based science course comes science happiness first mooc teach ground breaking science positive psychology explores roots happy meaningful life students will engage provocative practical lessons science discovering cutting edge research can applied lives created uc berkeley greater good science center course will zero fundamental finding positive psychology happiness inextricably linked strong social connections contributing something bigger greater good students will learn cross disciplinary research supporting view spanning fields psychology neuroscience evolutionary biology beyond science happiness offers students practical strategies tapping nurturing happiness including trying several research backed activities foster social emotional well exploring happiness changes along way course co instructors dacher keltner emiliana simon thomas leading authorities positive psychology also gifted teachers skilled making science fun personal ll joined world renowned experts discussing themes like empathy mindfulness gratitude experts including barbara fredrickson paul ekman sonja lyubomirsky jon kabat zinn health professionals register can earn continuing education units participation consider signing course friend group tweet registration share facebook use buddy system stay track join conversation greater good science center facebook page berkeleyx gg science happiness facebook group note course self paced course edx ",49.5
"leaders learning"," us carry explicit implicit theories learning manifest ways learn ways teach ways think leadership learning leaders learning will identify develop personal theory learning explore fits shifting landscape learning isnâ just schools itâ broader bigger world learning education sector undergoing great transformation coming decades will continue change learn learn learn learn questions will reexamined leaders learning will explore learning leadership organizational structure physical design harvardx requires individuals enroll courses edx abide terms edx honor code harvardx will take appropriate corrective action response violations edx honor code may include dismissal harvardx course revocation certificates received harvardx course remedies circumstances warrant refunds will issued case corrective action violations enrollees taking harvardx courses part another program will also governed academic policies programs harvardx pursues science learning registering online learner hx course will also participate research learning read research statement learn harvard university harvardx committed maintaining safe healthy educational work environment member community excluded participation denied benefits subjected discrimination harassment program members harvardx community expected abide harvard policies nondiscrimination including sexual harassment edx terms service questions concerns please contact harvardx harvard edu report experience edx contact form ",30
"exercising leadership foundational principles"," crises time generate enormous adaptive challenges families organizations communities societies need leadership can mobilize people meet challenges improve life critical introductory course will explore strategies leading changing world adaptive pressures will continue challenge us will discover new ways approach complex organizational systems take thoughtful action work face ahead importantly will reflect move forward leadership challenges care short introductory course will discover diagnostic action process exercising leadership explores following foundational principles strategies ",10
"data science probability"," course part professional certificate program data science will learn valuable concepts probability theory motivation course circumstances surrounding financial crisis part caused financial crisis risk securities sold financial institutions underestimated begin understand complicated event need understand basics probability will introduce important concepts random variables independence monte carlo simulations expected values standard errors central limit theorem statistical concepts fundamental conducting statistical tests data understanding whether data analyzing likely occurring due experimental method chance probability theory mathematical foundation statistical inference indispensable analyzing data affected chance thus essential data scientists ",12
"introduction data wise collaborative process improve learning teaching","educators ever increasing stream data fingertips knowing use data improve learning teaching make less overwhelming useful part effective collaborative process can challenging based book data wise step step guide using assessment results improve teaching learning course describes clear step process using wide range data sources improve instruction will see disciplined way working colleagues can look feel like school setting will also opportunity share insights experiences school improvement educators around world introduction data wise open especially valuable teachers school district leaders well policymakers educational entrepreneurs dedicated improving outcomes students several ways take course self paced course can go essential materials day take several weeks allow reflection will one month active course facilitation will include discussion board moderation office hours live events course provides introduction rich portfolio books resources training support developed data wise project harvard graduate school education data wise project works partnership teachers school system leaders develop field test resources support collaborative school improvement encourage explore resources chart course using data improve learning teaching students ",15
